Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Safety and Immunogenicity of the Respiratory Syncytial Virus Vaccine RSV/Î”NS2/Î”1313/I1314L in RSV-Seronegative Children,"Karron, R. A.; Luongo, C.; Mateo, J. S.; Wanionek, K.; Collins, P. L.; Buchholz, U. J.","BACKGROUND: Respiratory syncytial virus (RSV) is the leading global cause of severe pediatric acute respiratory tract illness, and a vaccine is needed. RSV/Î”NS2/Î”1313/I1314L contains 2 attenuating elements: (1) deletion of the interferon antagonist NS2 gene and (2) deletion of codon 1313 of the RSV polymerase gene and the stabilizing missense mutation I1314L. This live vaccine candidate was temperature-sensitive, genetically stable, replication restricted, and immunogenic in nonhuman primates. METHODS: A single intranasal dose of RSV/Î”NS2/Î”1313/I1314L was evaluated in a double-blind, placebo-controlled trial (vaccine-placebo ratio, 2:1) at 106 plaque-forming units (PFU) in 15 RSV-seropositive children and at 105 and 106 PFU in 21 and 30 RSV-seronegative children, respectively. RESULTS: In RSV-seronegative children, the 105 PFU dose was overattenuated, but the 106 PFU dose was well tolerated, infectious (RSV/Î”NS2/Î”1313/I1314L replication detected in 90% of vaccinees), and immunogenic (geometric mean serum RSV plaque-reduction neutralizing antibody titer, 1:64). After the RSV season, 9 of 20 vaccinees had increases in the RSV titer that were significantly greater than those in 8 of 10 placebo recipients (1:955 vs 1:69, respectively), indicating that the vaccine primed for anamnestic responses after natural RSV exposure. CONCLUSION: Rational design yielded a genetically stable candidate RSV vaccine that is attenuated yet immunogenic in RSV-seronegative children, warranting further evaluation. CLINICAL TRIALS REGISTRATION: NCT01893554.",2020,Jun-16,J Infect Dis,222,1,82-91,31605113,10.1093/infdis/jiz408,,#580,Karron 2020,,NCT number; Possible RCT; Sanofi; immunogenicity; live-attenuated; product not taken forward to phase 3; under 5 years
A gene deletion that up-regulates viral gene expression yields an attenuated RSV vaccine with improved antibody responses in children,"Karron, R. A.; Luongo, C.; Thumar, B.; Loehr, K. M.; Englund, J. A.; Collins, P. L.; Buchholz, U. J.","Respiratory syncytial virus (RSV) is the leading viral cause of severe pediatric respiratory illness, and a safe and effective vaccine for use in infancy and early childhood is needed. We previously showed that deletion of the coding sequence for the viral M2-2 protein (Î”M2-2) down-regulated viral RNA replication and up-regulated gene transcription and antigen synthesis, raising the possibility of development of an attenuated vaccine with enhanced immunogenicity. RSV MEDI Î”M2-2 was therefore evaluated as a live intranasal vaccine in adults, RSV-seropositive children, and RSV-seronegative children. When results in RSV-seronegative children were compared to those achieved with the previous leading live attenuated RSV candidate vaccine, vaccine virus shedding was significantly more restricted, yet the postvaccination RSV-neutralizing serum antibody achieved [geometric mean titer (GMT) = 1:97] was significantly greater. Surveillance during the subsequent RSV season showed that several seronegative RSV MEDI Î”M2-2 recipients had substantial antibody rises without reported illness, suggesting that the vaccine was protective yet primed for anamnestic responses to RSV. Rational design appears to have yielded a candidate RSV vaccine that is intrinsically superior at eliciting protective antibody in RSV-naÃ¯ve children and highlights an approach for the development of live attenuated RSV vaccines.",2015,Nov-04,Sci Transl Med,7,312,312ra175,26537255,10.1126/scitranslmed.aac8463,,#581,Karron 2015,,NCT number; NIAID/NIH/MedImmune; general adults; immunogenicity; live-attenuated; product not taken forward to phase 3; under 5 years
Evaluation of the Live-Attenuated Intranasal Respiratory Syncytial Virus (RSV) Vaccine RSV/6120/Î”NS2/1030s in RSV-Seronegative Young Children,"Karron, R. A.; Luongo, C.; Woods, S.; Oliva, J.; Collins, P. L.; Buchholz, U. J.","BACKGROUND: Respiratory syncytial virus (RSV) is the leading cause of pediatric lower respiratory illness (LRI) and a vaccine for immunization of children is needed. RSV/6120/Î”NS2/1030s is a cDNA-derived live-vaccine candidate attenuated by deletion of the interferon antagonist NS2 gene and the genetically stabilized 1030s missense polymerase mutation in the polymerase, conferring temperature sensitivity. METHODS: A single intranasal dose of RSV/6120/Î”NS2/1030s was evaluated in a double-blind, placebo-controlled trial (vaccine to placebo ratio, 2:1) at 105.7 plaque-forming units (PFU) in 15 RSV-seropositive 12- to 59-month-old children, and at 105 PFU in 30 RSV-seronegative 6- to 24-month-old children. RESULTS: RSV/6120/Î”NS2/1030s infected 100% of RSV-seronegative vaccinees and was immunogenic (geometric mean RSV plaque-reduction neutralizing antibody titer [RSV-PRNT], 1:91) and genetically stable. Mild rhinorrhea was detected more frequently in vaccinees (18/20 vaccinees vs 4/10 placebo recipients, P = .007), and LRI occurred in 1 vaccinee during a period when only vaccine virus was detected. Following the RSV season, 5 of 16 vaccinees had â‰¥4-fold rises in RSV-PRNT with significantly higher titers than 4 of 10 placebo recipients with rises (1:1992 vs 1:274, P = .02). Thus, RSV/6120/Î”NS2/1030s primed for substantial anamnestic neutralizing antibody responses following naturally acquired RSV infection. CONCLUSIONS: RSV/6120/Î”NS2/1030s is immunogenic and genetically stable in RSV-seronegative children, but the frequency of rhinorrhea in vaccinees exceeded that in placebo recipients. CLINICAL TRIALS REGISTRATION: NCT03387137.",2024,Feb-14,J Infect Dis,229,2,346-354,37493269,10.1093/infdis/jiad281,,#582,Karron 2024,,NCT number; Possible RCT; Sanofi/NIAID/NIH; immunogenicity; live-attenuated; product not taken forward to phase 3; under 5 years
Identification of a recombinant live attenuated respiratory syncytial virus vaccine candidate that is highly attenuated in infants,"Karron, R. A.; Wright, P. F.; Belshe, R. B.; Thumar, B.; Casey, R.; Newman, F.; Polack, F. P.; Randolph, V. B.; Deatly, A.; Hackell, J.; Gruber, W.; Murphy, B. R.; Collins, P. L.","BACKGROUND: Recombination technology can be used to create live attenuated respiratory syncytial virus (RSV) vaccines that contain combinations of known attenuating mutations. METHODS: Two live attenuated, recombinantly derived RSV vaccine candidates, rA2cp248/404 Delta SH and rA2cp248/404/1030 Delta SH, were evaluated in 31 adults and in 95 children >/=6 months old. rA2cp248/404/1030 Delta SH was subsequently evaluated in 44 infants 1-2 months old. These vaccine candidates share 4 attenuating genetic elements and differ only in a missense mutation (1030) in the polymerase gene. RESULTS: Both vaccines were highly attenuated in adults and RSV-seropositive children and were well tolerated and immunogenic in RSV-seronegative children. Compared with that of rA2cp248/404 Delta SH, replication of rA2cp248/404/1030 Delta SH was restricted in RSV-seronegative children (mean peak titer, 10(4.3) vs. 10(2.5) plaque-forming units [pfu]/mL), indicating that the 1030 mutation had a potent attenuating effect. Although rA2cp248/404/1030 Delta SH was well tolerated in infants, only 44% of infants who received two 10(5.3)-pfu doses of vaccine had detectable antibody responses. However, replication after administration of the second dose was highly restricted, indicating that protective immunity was induced. At least 4 of 5 attenuating genetic elements were retained in recovered vaccine viruses. CONCLUSIONS: rA2cp248/404/1030 Delta SH is the first RSV vaccine candidate to be sufficiently attenuated in young infants. Additional studies are needed to determine whether rA2cp248/404/1030 Delta SH can induce protective immunity against wild-type RSV.",2005,Apr-01,J Infect Dis,191,7,1093-104,15747245,10.1086/427813,,#583,Karron 2005,,No NCT number; Possible RCT; adults; efficacy/effectiveness; immunogenicity; infants/children; live attenuated/chimeric vaccine; vaccine
"Evaluation of two live, cold-passaged, temperature-sensitive respiratory syncytial virus vaccines in chimpanzees and in human adults, infants, and children","Karron, R. A.; Wright, P. F.; Crowe, J. E., Jr.; Clements-Mann, M. L.; Thompson, J.; Makhene, M.; Casey, R.; Murphy, B. R.","Two live-attenuated, cold-passaged (cp), temperature-sensitive (ts) candidate vaccines, designated cpts530/1009 and cpts248/955, were attenuated, genetically stable, and immunogenic in chimpanzees and were highly attenuated for human adults. In respiratory syncytial virus (RSV)-seropositive children, cpts530/1009 was more restricted in replication than cpts248/955. In seronegative children, 10(4) pfu of cpts248/955 was insufficiently attenuated, and a high titer of vaccine virus was shed (mean peak titer, 10(4.4) pfu/mL), whereas 10(4) pfu of cpts530/1009 was relatively attenuated and restricted in replication (mean peak titer, 10(2.0) pfu/mL). At a dose of 10(5) pfu, cpts530/1009 was immunogenic in seronegative children (geometric mean titer of RSV neutralizing antibodies, 1:724). Transmission of either vaccine to seronegative placebo recipients occurred at a frequency of 20%-25%. Of importance, vaccine viruses recovered from chimpanzees and humans were ts. In contrast to previous studies, this study indicates that live attenuated RSV vaccines that are immunogenic and phenotypically stable can be developed. Additional studies are being conducted to identify a live RSV vaccine that is slightly more attenuated and less transmissible than cpts530/1009.",1997,Dec,J Infect Dis,176,6,1428-36,9395351,10.1086/514138,,#584,Karron 1997,,No NCT number; Possible RCT; adults; immunogenicity; infants/children; live-attenuated; vaccine
Respiratory syncytial virus disease in infants despite prior administration of antigenic inactivated vaccine,"Kim, H. W.; Canchola, J. G.; Brandt, C. D.; Pyles, G.; Chanock, R. M.; Jensen, K.; Parrott, R. H.",,1969,Apr,Am J Epidemiol,89,4,422-34,4305198,10.1093/oxfordjournals.aje.a120955,,#597,Kim 1969,,No NCT number; Pfizer; efficacy/effectiveness; formalin inactivated; immunogenicity; infants/children; vaccine
"Safety and immunogenicity of a respiratory syncytial virus prefusion F protein (RSVPreF3) candidate vaccine in older Japanese adults: A phase I, randomized, observer-blind clinical trial","Kotb, S.; Haranaka, M.; Folschweiller, N.; Nakanwagi, P.; Verheust, C.; De Schrevel, N.; David, M. P.; Mesaros, N.; HulstrÃ¸m, V.","BACKGROUND: Respiratory syncytial virus (RSV) causes lower respiratory tract infection, with a high burden of disease among adults â‰¥60 years. This study assessed the safety, reactogenicity, and immunogenicity of an investigational adjuvanted RSV vaccine (RSVPreF3/AS01(B)) in Japanese adults aged 60-80 years. METHODS: Forty participants were randomized to receive two doses of RSVPreF3/AS01(B) or the placebo, in a 1:1 ratio, two months apart, in this placebo-controlled study. Solicited administration-site and systemic adverse events (AEs) were collected within 7 days and unsolicited AEs within 30 days post-vaccination. Serious AEs (SAEs) and potential immune-mediated diseases (pIMDs) were collected throughout the study (12 months post-dose 2). RSVPreF3-specific immunoglobulin G (IgG) antibody concentrations and neutralizing antibody (nAb) titers against RSV-A were evaluated on day (D)1, D31, D61, D91 and those against RSV-B on D1, D31, D91. RESULTS: Solicited AEs were reported more frequently in RSVPreF3/AS01(B) recipients (80.0%-90.0%) than in placebo recipients (10.0%-20.0%). Two RSVPreF3/AS01(B) recipients experienced grade 3 solicited AEs. Rate of unsolicited AEs were similar (30.0%-35.0%) in both groups. No RSVPreF3/AS01(B) recipient reported SAEs/pIMDs, while one placebo recipient reported two SAEs that were unrelated to vaccination. Baseline RSVPreF3-specific IgG and RSV-A/-B nAb levels were above the assay cut-off values. In the RSVPreF3/AS01(B) group, RSVPreF3-specific IgG concentrations increased 12.8-fold on D31 and 9.2-fold on D91 versus baseline while nAb titers increased 7.3-fold (RSV-A) and 8.4-fold (RSV-B) on D31 and 6.3-fold (RSV-A) and 9.9-fold (RSV-B) on D91. CONCLUSIONS: The RSVPreF3/AS01(B) vaccine was well tolerated and immunogenic in older Japanese adults. CLINICAL TRIAL REGISTRATION NUMBER: NCT04090658.",2023,Mar,Respir Investig,61,2,261-269,36641341,10.1016/j.resinv.2022.11.003,,#624,Kotb 2023,Ainslie Hie (2025-03-17 13:57:28)(Included): extracted; ,GSK; NCT number; Possible RCT; immunogenicity; older adults; product taken forward to phase 3; protein subunit
"A Randomized, Controlled, Observer-Blinded Phase 1 Study of the Safety and Immunogenicity of a Respiratory Syncytial Virus Vaccine With or Without Alum Adjuvant","Langley, J. M.; Aggarwal, N.; Toma, A.; Halperin, S. A.; McNeil, S. A.; Fissette, L.; DewÃ©, W.; Leyssen, M.; Toussaint, J. F.; Dieussaert, I.","BACKGROUND: â€ƒRespiratory syncytial virus (RSV) is a leading cause of childhood bronchiolitis and pneumonia, particularly in early infancy. Immunization of pregnant women could boost preexisting immune responses, providing passive protection to newborns through placental transfer of anti-RSV antibody. METHODS: â€ƒIn this first-in-humans clinical trial of a purified recombinant RSV protein F vaccine engineered to preferentially maintain prefusion conformation (RSV-PreF), 128 healthy men 18-44 years old were randomized to one dose of a RSV-PreF vaccine containing 10, 30, or 60 Âµg of RSV-PreF antigen, with or without alum adjuvant, or control, and followed for one year for safety and immunogenicity outcomes. RESULTS: â€ƒInjection site pain was the most common adverse event, reported by up to 81.3% of participants. The highest RSV neutralizing antibody responses were in the 30 Âµg RSV-PreF/alum, 60 Âµg RSV-PreF/alum, and 60 Âµg RSV-PreF/nonadjuvant groups. Responses were evident on day 7, and 30 days after vaccination these participants had RSV-A neutralizing antibody titers of â‰¥1:512, and >70% had titers of 1:1024, with titers increasing by 3.2-4.9 fold. Responses remained high on day 60 but waned on days 180 and 360. CONCLUSIONS: â€ƒThe RSV-PreF vaccine elicited rapid RSV neutralizing antibody responses in healthy young men, with an acceptable adverse event profile.",2017,Jan-01,J Infect Dis,215,1,24-33,27694633,10.1093/infdis/jiw453,,#654,Langley 2017,,GSK; NCT number; Possible RCT; general adults; immunogenicity; males only; product not taken forward to phase 3; protein subunit
A dose-ranging study of a subunit Respiratory Syncytial Virus subtype A vaccine with and without aluminum phosphate adjuvantation in adults > or =65 years of age,"Langley, J. M.; Sales, V.; McGeer, A.; Guasparini, R.; Predy, G.; Meekison, W.; Li, M.; Capellan, J.; Wang, E.","We studied the safety and immunogenicity of a Respiratory Syncytial Virus (RSV)-A vaccine containing subunit antigens F, G and M in older persons, and its effect on influenza vaccine immunogenicity. In a dose-ranging, placebo-controlled, blinded trial 561 adults > or =65 years of age at five Canadian sites were randomized to one intramuscular injection of either 100, 50 or 25 microg RSV-A-alum vaccine or 100 microg non-adjuvanted RSV-A vaccine, or alum-placebo. All participants were offered inactivated influenza vaccine on day 32. Immunization was well tolerated and reactogenicity was similar between the RSV and influenza vaccines and the alum-placebo. Only the 100 microg non-adjuvanted RSV vaccine achieved the primary immunogenicity outcome of eliciting a > or =4-fold rise in neutralizing antibody (NA) titres against RSV-A in > or =50% of participants at day 32. Geometric mean titres against RSV-A and -B at all points were comparable in 100 microg adjuvanted and non-adjuvanted groups. At day 32, a > or =4-fold haemagluttinin inhibition (HI) antibody response or HI > or =40 to Influenza (A-H3N2) was seen in >74% of participants; no difference was seen between groups. A subunit non-alum-containing RSV-A vaccine was well tolerated in a large population > or =65 years and did not interfere with influenza vaccine immunogenicity. This RSV-A-based vaccine demonstrated NA rise which could provide seasonal protection against severe RSV illnesses from RSV-A or -B and warrants further testing to determine its efficacy in the prevention of clinical illness in elderly persons.",2009,Sep-25,Vaccine,27,42,5913-9,19651171,10.1016/j.vaccine.2009.07.038,,#656,Langley 2009,,No NCT number; Possible RCT; Sanofi; immunogenicity; older adults; protein subunit; vaccine
"Safety and immunogenicity of a respiratory syncytial virus fusion glycoprotein F subunit vaccine in healthy adults: Results of a phase 1, randomized, observer-blind, controlled, dosage-escalation study","Leroux-Roels, G.; De Boever, F.; Maes, C.; Nguyen, T. L.; Baker, S.; Gonzalez Lopez, A.","INTRODUCTION: Respiratory syncytial virus (RSV) is a leading cause of acute lower respiratory tract infections in infants. An investigational vaccine using an engineered recombinant RSV fusion glycoprotein in its post-fusion conformation (RSV F subunit vaccine) has been developed to protect young infants via maternal immunization. This first-in-human, phase I, observer-blind study (NCT02298179) evaluated the safety and immunogenicity of different dosages and formulations of RSV F subunit vaccine in healthy non-pregnant women and men aged 18-45â€¯years. METHODS: Participants were enrolled (1:1:1) in a stepwise dosage-escalation manner into three cohorts to receive RSV F subunit vaccine containing 45â€¯Âµg, 90â€¯Âµg and 135â€¯Î¼g of RSV F glycoprotein. Within each cohort, participants were randomized (1:1:1:1) to receive two doses of RSV F subunit vaccine with (aluminum hydroxide or MF59) or without adjuvant, or placebo, â‰¥28â€¯days apart. Safety (until day 365 post-dose 2), anti-RSV neutralizing antibodies (NAbs) and serum total binding antibodies to RSV F protein (until day 181 post-dose 1) were evaluated. RESULTS: All formulations were well-tolerated. No vaccine-related serious adverse events were reported. All participants were seropositive for anti-RSV NAbs at baseline, with geometric mean titers (GMTs) ranging from 184 (95% confidence interval [CI]: 127-266) to 380 (95% CI: 272-531). At 28â€¯days post-dose 1, anti-RSV NAb GMTs in vaccine recipients ranged from 893 (95% CI: 702-1,136) to 1,602 (95% CI: 1,243-2,064). No booster effect was observed, but immune responses were maintained above pre-vaccination levels for six months post-dose 1. Ratios of RSV F total binding antibodies fold changes to NAb fold changes ranged from 2.79 to 4.12 at 28â€¯days post-dose 1. The impact of the adjuvant was limited. CONCLUSIONS: A single dose of each formulation of RSV subunit F vaccine was well-tolerated and enhanced preexisting NAb titers through six months of follow-up.",2019,May-06,Vaccine,37,20,2694-2703,30987852,10.1016/j.vaccine.2019.04.011,,#689,Leroux-Roels 2019,,GSK; NCT number; Possible RCT; general adults; immunogenicity; product not taken forward to phase 3; protein subunit
"Double-Blind, Placebo-Controlled, Dose-Escalating Study Evaluating the Safety and Immunogenicity of an Epitope-Specific Chemically Defined Nanoparticle RSV Vaccine","Leroux-Roels, I.; Bruhwyler, J.; Stergiou, L.; Sumeray, M.; Joye, J.; Maes, C.; Lambert, P. H.; Leroux-Roels, G.","BACKGROUND: V-306 is a virus-like particle-based vaccine candidate displaying respiratory syncytial virus (RSV) F site II protein mimetics (FsIIm) as an antigenic epitope. METHODS: This was a randomized, placebo-controlled, double-blind, dose-escalating, first-in-human study, conducted in 60 women aged 18-45 years. Twenty subjects per cohort (15 vaccine and five placebo) received two V-306 intramuscular administrations on Days 0 and 56 at 15 Âµg, 50 Âµg, or 150 Âµg. Safety and immunogenicity were assessed after each vaccination and for 1 year in total. RESULTS: V-306 was safe and well tolerated at all dose levels, with no increase in reactogenicity and unsolicited adverse events between the first and second administrations. At 50 Âµg and 150 Âµg, V-306 induced an increase in FsIIm-specific immunoglobulin G (IgG) titers, which lasted at least 4 months. This did not translate into an increase in RSV-neutralizing antibody titers, which were already high at baseline. No increase in the anti-F protein-specific IgG titers was observed, which were also high in most subjects at baseline due to past natural infections. CONCLUSIONS: V-306 was safe and well-tolerated. Future modifications of the vaccine and assay conditions will likely improve the results of vaccination.",2023,Feb-06,Vaccines (Basel),11,2,,36851245,10.3390/vaccines11020367,,#690,Leroux-Roels 2023,Yuna Chung (2025-01-08 12:36:05)(Included): synthetic virus-like particle vaccine; ,NCT number; Possible RCT; Virometix; females only; general adults; immunogenicity; product not taken forward to phase 3; virus-like particles
Safety and Immunogenicity of a Respiratory Syncytial Virus Prefusion F (RSVPreF3) Candidate Vaccine in Older Adults: Phase 1/2 Randomized Clinical Trial,"Leroux-Roels, I.; Davis, M. G.; Steenackers, K.; Essink, B.; Vandermeulen, C.; Fogarty, C.; Andrews, C. P.; Kerwin, E.; David, M. P.; Fissette, L.; Vanden Abeele, C.; Collete, D.; de Heusch, M.; Salaun, B.; De Schrevel, N.; Koch, J.; Verheust, C.; Dezutter, N.; Struyf, F.; Mesaros, N.; Tica, J.; HulstrÃ¸m, V.","BACKGROUND: The aim of this study was to investigate safety and immunogenicity of vaccine formulations against respiratory syncytial virus (RSV) containing the stabilized prefusion conformation of RSV fusion protein (RSVPreF3). METHODS: This phase 1/2, randomized controlled, observer-blind study enrolled 48 young adults (YAs; aged 18-40 years) and 1005 older adults (OAs; aged 60-80 years) between January and August 2019. Participants were randomized into equally sized groups to receive 2 doses of unadjuvanted (YAs and OAs) or AS01-adjuvanted (OAs) vaccine or placebo 2 months apart. Vaccine safety and immunogenicity were assessed until 1 month (YAs) or 12 months (OAs) after second vaccination. RESULTS: The RSVPreF3 vaccines boosted humoral (RSVPreF3-specific immunoglobulin G [IgG] and RSV-A neutralizing antibody) responses, which increased in an antigen concentration-dependent manner and were highest after dose 1. Compared to prevaccination, the geometric mean frequencies of polyfunctional CD4+ T cells increased after each dose and were significantly higher in adjuvanted than unadjuvanted vaccinees. Postvaccination immune responses persisted until end of follow-up. Solicited adverse events were mostly mild to moderate and transient. Despite a higher observed reactogenicity of AS01-containing vaccines, no safety concerns were identified for any assessed formulation. CONCLUSIONS: Based on safety and immunogenicity profiles, the AS01E-adjuvanted vaccine containing 120 Î¼g of RSVPreF3 was selected for further clinical development. CLINICAL TRIALS REGISTRATION: NCT03814590.",2023,Mar-28,J Infect Dis,227,6,761-772,35904987,10.1093/infdis/jiac327,,#691,Leroux-Roels 2023,"Ainslie Hie (2025-03-04 16:35:27)(Included): extracted
; ",GSK; NCT number; Possible RCT; formulation taken forward to phase 3; general adults; immunogenicity; older adults; product taken forward to phase 3; protein subunit
Safety and Immunogenicity of a Revaccination With a Respiratory Syncytial Virus Prefusion F Vaccine in Older Adults: A Phase 2b Study,"Leroux-Roels, I.; Van Ranst, M.; Vandermeulen, C.; Abeele, C. V.; De Schrevel, N.; Salaun, B.; Verheust, C.; David, M. P.; Kotb, S.; HulstrÃ¸m, V.","BACKGROUND: In the previous (parent) study, 2 doses of different formulations of an investigational vaccine against respiratory syncytial virus (RSVPreF3 OA) were well tolerated and immunogenic in older adults. This multicenter phase 2b extension study assessed safety and immunogenicity of a revaccination (third) dose of the 120 Î¼g RSVPreF3-AS01E formulation. METHODS: In total, 122 older adults (60-80 years), previously vaccinated with 2 doses of RSVPreF3-AS01E formulations (containing 30, 60, or 120 Î¼g RSVPreF3 antigen), received an additional 120 Î¼g RSVPreF3-AS01E dose 18 months after dose 2. Vaccine safety was evaluated in all participants up to 6 months and immunogenicity in participants who received 120 Î¼g RSVPreF3-AS01E doses until 1 month after dose 3. RESULTS: Similar to the parent study, mostly mild-to-moderate solicited adverse events and no vaccine-related serious adverse events or potential immune-mediated disorders were reported. Neutralizing titers and cell-mediated immune responses persisted for 18 months after 2-dose vaccination. Dose 3 increased RSV-specific neutralizing titers against RSV-A and RSV-B and median CD4+ T-cell frequencies. After dose 3, RSV-specific neutralizing titers but not CD4+ T-cell frequencies were below levels detected 1 month after dose 1. CONCLUSIONS: Revaccination with 120 Î¼g RSVPreF3-AS01E 18 months after dose 2 is well tolerated and immunogenic in older adults. CLINICAL TRIALS REGISTRATION: NCT04657198; EudraCT, 2020-000692-21.Respiratory syncytial virus (RSV) is a common, contagious seasonal virus causing respiratory tract infections. In older adults, RSV can cause serious respiratory illnesses or worsen underlying medical conditions such as chronic diseases of the lungs or heart failure. Severe disease may lead to hospitalization, increased need for oxygen, and ventilatory support. However, several vaccines against RSV in older adults have recently been licensed in the United States and European Union. This study evaluated safety and immune responses after revaccination (third dose) with an adjuvanted vaccine against RSV in older adults aged 60â€“80 years, who had received 2 doses of the vaccine with a similar adjuvanted formulation in a previous (parent) study. Revaccination was done with the licensed vaccine formulation, which was also selected for further investigation in several phase 3 clinical trials. This study found that immune responses against RSV persisted above prevaccination levels for at least 18 months after the second vaccination in the parent study. The third vaccine dose was well tolerated and recalled the immune responses in older adults. Together with the ongoing confirmatory clinical trials, these results help better characterize this RSV vaccine, in terms of safety and RSV-specific immune responses elicited in older adults.eng",2024,Feb-14,J Infect Dis,229,2,355-366,37699064,10.1093/infdis/jiad321,,#692,Leroux-Roels 2024,,GSK; NCT number; Possible RCT; formulation taken forward to phase 3; immunogenicity; older adults; product taken forward to phase 3; protein subunit
"Early estimates of nirsevimab immunoprophylaxis effectiveness against hospital admission for respiratory syncytial virus lower respiratory tract infections in infants, Spain, October 2023 to January 2024","LÃ³pez-Lacort, M.; MuÃ±oz-Quiles, C.; Mira-Iglesias, A.; LÃ³pez-Labrador, F. X.; Mengual-ChuliÃ¡, B.; FernÃ¡ndez-GarcÃ­a, C.; Carballido-FernÃ¡ndez, M.; Pineda-Caplliure, A.; Mollar-Maseres, J.; Shalabi Benavent, M.; Sanz-Herrero, F.; Zornoza-Moreno, M.; PÃ©rez-MartÃ­n, J. J.; Alfayate-Miguelez, S.; PÃ©rez Crespo, R.; Bastida SÃ¡nchez, E.; Menasalvas-Ruiz, A. I.; TÃ©llez-GonzÃ¡lez, M. C.; Esquiva Soto, S.; Del Toro Saravia, C.; Sanz-MuÃ±oz, I.; Eiros, J. M.; MatÃ­as Del Pozo, V.; Toquero-Asensi, M.; Pastor-Villalba, E.; Lluch-Rodrigo, J. A.; DÃ­ez-Domingo, J.; Orrico-SÃ¡nchez, A.","The monoclonal antibody nirsevimab was at least 70% effective in preventing hospitalisations in infants with lower respiratory tract infections (LRTI) positive for respiratory syncytial virus (RSV) in Spain (Oct 2023-Jan 2024), where a universal immunisation programme began late September (coverage range: 79-99%). High protection was confirmed by two methodological designs (screening and test-negative) in a multicentre active surveillance in nine hospitals in three regions. No protection against RSV-negative LRTI-hospitalisations was shown. These interim results could guide public-health decision-making.",2024,Feb,Euro Surveill,29,6,,38333937,10.2807/1560-7917.Es.2024.29.6.2400046,,#730,LÃ³pez-Lacort 2024,,AstraZeneca-Sanofi; No NCT number; Possible RCT; efficacy/effectiveness; immunoprophylaxis; infants/children; monoclonal antibody
Respiratory Syncytial Virus Vaccination during Pregnancy and Effects in Infants,"Madhi, S. A.; Polack, F. P.; Piedra, P. A.; Munoz, F. M.; Trenholme, A. A.; SimÃµes, E. A. F.; Swamy, G. K.; Agrawal, S.; Ahmed, K.; August, A.; Baqui, A. H.; Calvert, A.; Chen, J.; Cho, I.; Cotton, M. F.; Cutland, C. L.; Englund, J. A.; Fix, A.; Gonik, B.; Hammitt, L.; Heath, P. T.; de Jesus, J. N.; Jones, C. E.; Khalil, A.; Kimberlin, D. W.; Libster, R.; Llapur, C. J.; Lucero, M.; PÃ©rez Marc, G.; Marshall, H. S.; Masenya, M. S.; MartinÃ³n-Torres, F.; Meece, J. K.; Nolan, T. M.; Osman, A.; Perrett, K. P.; Plested, J. S.; Richmond, P. C.; Snape, M. D.; Shakib, J. H.; Shinde, V.; Stoney, T.; Thomas, D. N.; Tita, A. T.; Varner, M. W.; Vatish, M.; Vrbicky, K.; Wen, J.; Zaman, K.; Zar, H. J.; Glenn, G. M.; Fries, L. F.","BACKGROUND: Respiratory syncytial virus (RSV) is the dominant cause of severe lower respiratory tract infection in infants, with the most severe cases concentrated among younger infants. METHODS: Healthy pregnant women, at 28 weeks 0 days through 36 weeks 0 days of gestation, with an expected delivery date near the start of the RSV season, were randomly assigned in an overall ratio of approximately 2:1 to receive a single intramuscular dose of RSV fusion (F) protein nanoparticle vaccine or placebo. Infants were followed for 180 days to assess outcomes related to lower respiratory tract infection and for 364 days to assess safety. The primary end point was RSV-associated, medically significant lower respiratory tract infection up to 90 days of life, and the primary analysis of vaccine efficacy against the primary end point was performed in the per-protocol population of infants (prespecified criterion for success, lower bound of the 97.52% confidence interval [CI] of â‰¥30%). RESULTS: A total of 4636 women underwent randomization, and there were 4579 live births. During the first 90 days of life, the percentage of infants with RSV-associated, medically significant lower respiratory tract infection was 1.5% in the vaccine group and 2.4% in the placebo group (vaccine efficacy, 39.4%; 97.52% CI, -1.0 to 63.7; 95% CI, 5.3 to 61.2). The corresponding percentages for RSV-associated lower respiratory tract infection with severe hypoxemia were 0.5% and 1.0% (vaccine efficacy, 48.3%; 95% CI, -8.2 to 75.3), and the percentages for hospitalization for RSV-associated lower respiratory tract infection were 2.1% and 3.7% (vaccine efficacy, 44.4%; 95% CI, 19.6 to 61.5). Local injection-site reactions among the women were more common with vaccine than with placebo (40.7% vs. 9.9%), but the percentages of participants who had other adverse events were similar in the two groups. CONCLUSIONS: RSV F protein nanoparticle vaccination in pregnant women did not meet the prespecified success criterion for efficacy against RSV-associated, medically significant lower respiratory tract infection in infants up to 90 days of life. The suggestion of a possible benefit with respect to other end-point events involving RSV-associated respiratory disease in infants warrants further study. (Funded by Novavax and the Bill and Melinda Gates Foundation; ClinicalTrials.gov NCT02624947.).",2020,Jul-30,N Engl J Med,383,5,426-439,32726529,10.1056/NEJMoa1908380,,#747,Madhi 2020,,NCT number; Novavax; Possible RCT; efficacy/effectiveness; females only; formulation taken forward to phase 3; immunogenicity; maternal; product taken forward to phase 3; protein subunit; under 1 year
