"","Title","Authors","Abstract","Published.Year","Published.Month","Journal","Volume","Issue","Pages","Accession.Number","DOI","Ref","Covidence..","Study","Notes","Tags","is_nct"
"39","Evaluation of the Live-Attenuated Intranasal Respiratory Syncytial Virus (RSV) Vaccine RSV/6120/Î”NS2/1030s in RSV-Seronegative Young Children","Karron, R. A.; Luongo, C.; Woods, S.; Oliva, J.; Collins, P. L.; Buchholz, U. J.","BACKGROUND: Respiratory syncytial virus (RSV) is the leading cause of pediatric lower respiratory illness (LRI) and a vaccine for immunization of children is needed. RSV/6120/Î”NS2/1030s is a cDNA-derived live-vaccine candidate attenuated by deletion of the interferon antagonist NS2 gene and the genetically stabilized 1030s missense polymerase mutation in the polymerase, conferring temperature sensitivity. METHODS: A single intranasal dose of RSV/6120/Î”NS2/1030s was evaluated in a double-blind, placebo-controlled trial (vaccine to placebo ratio, 2:1) at 105.7 plaque-forming units (PFU) in 15 RSV-seropositive 12- to 59-month-old children, and at 105 PFU in 30 RSV-seronegative 6- to 24-month-old children. RESULTS: RSV/6120/Î”NS2/1030s infected 100% of RSV-seronegative vaccinees and was immunogenic (geometric mean RSV plaque-reduction neutralizing antibody titer [RSV-PRNT], 1:91) and genetically stable. Mild rhinorrhea was detected more frequently in vaccinees (18/20 vaccinees vs 4/10 placebo recipients, P = .007), and LRI occurred in 1 vaccinee during a period when only vaccine virus was detected. Following the RSV season, 5 of 16 vaccinees had â‰¥4-fold rises in RSV-PRNT with significantly higher titers than 4 of 10 placebo recipients with rises (1:1992 vs 1:274, P = .02). Thus, RSV/6120/Î”NS2/1030s primed for substantial anamnestic neutralizing antibody responses following naturally acquired RSV infection. CONCLUSIONS: RSV/6120/Î”NS2/1030s is immunogenic and genetically stable in RSV-seronegative children, but the frequency of rhinorrhea in vaccinees exceeded that in placebo recipients. CLINICAL TRIALS REGISTRATION: NCT03387137.",2024,"Feb-14","J Infect Dis",229,"2","346-354",37493269,"10.1093/infdis/jiad281",NA,"#582","Karron 2024","","NCT number; Possible RCT; Sanofi/NIAID/NIH; immunogenicity; live-attenuated; product not taken forward to phase 3; â‰¤5 years",TRUE
"40","Safety and immunogenicity of a respiratory syncytial virus prefusion F protein (RSVPreF3) candidate vaccine in older Japanese adults: A phase I, randomized, observer-blind clinical trial","Kotb, S.; Haranaka, M.; Folschweiller, N.; Nakanwagi, P.; Verheust, C.; De Schrevel, N.; David, M. P.; Mesaros, N.; HulstrÃ¸m, V.","BACKGROUND: Respiratory syncytial virus (RSV) causes lower respiratory tract infection, with a high burden of disease among adults â‰¥60 years. This study assessed the safety, reactogenicity, and immunogenicity of an investigational adjuvanted RSV vaccine (RSVPreF3/AS01(B)) in Japanese adults aged 60-80 years. METHODS: Forty participants were randomized to receive two doses of RSVPreF3/AS01(B) or the placebo, in a 1:1 ratio, two months apart, in this placebo-controlled study. Solicited administration-site and systemic adverse events (AEs) were collected within 7 days and unsolicited AEs within 30 days post-vaccination. Serious AEs (SAEs) and potential immune-mediated diseases (pIMDs) were collected throughout the study (12 months post-dose 2). RSVPreF3-specific immunoglobulin G (IgG) antibody concentrations and neutralizing antibody (nAb) titers against RSV-A were evaluated on day (D)1, D31, D61, D91 and those against RSV-B on D1, D31, D91. RESULTS: Solicited AEs were reported more frequently in RSVPreF3/AS01(B) recipients (80.0%-90.0%) than in placebo recipients (10.0%-20.0%). Two RSVPreF3/AS01(B) recipients experienced grade 3 solicited AEs. Rate of unsolicited AEs were similar (30.0%-35.0%) in both groups. No RSVPreF3/AS01(B) recipient reported SAEs/pIMDs, while one placebo recipient reported two SAEs that were unrelated to vaccination. Baseline RSVPreF3-specific IgG and RSV-A/-B nAb levels were above the assay cut-off values. In the RSVPreF3/AS01(B) group, RSVPreF3-specific IgG concentrations increased 12.8-fold on D31 and 9.2-fold on D91 versus baseline while nAb titers increased 7.3-fold (RSV-A) and 8.4-fold (RSV-B) on D31 and 6.3-fold (RSV-A) and 9.9-fold (RSV-B) on D91. CONCLUSIONS: The RSVPreF3/AS01(B) vaccine was well tolerated and immunogenic in older Japanese adults. CLINICAL TRIAL REGISTRATION NUMBER: NCT04090658.",2023,"Mar","Respir Investig",61,"2","261-269",36641341,"10.1016/j.resinv.2022.11.003",NA,"#624","Kotb 2023","Ainslie Hie (2025-03-17 13:57:28)(Included): extracted; ","GSK; NCT number; Possible RCT; immunogenicity; older adults; product taken forward to phase 3; protein subunit;4_older_adults_immunogenicity",TRUE
"41","A Randomized, Controlled, Observer-Blinded Phase 1 Study of the Safety and Immunogenicity of a Respiratory Syncytial Virus Vaccine With or Without Alum Adjuvant","Langley, J. M.; Aggarwal, N.; Toma, A.; Halperin, S. A.; McNeil, S. A.; Fissette, L.; DewÃ©, W.; Leyssen, M.; Toussaint, J. F.; Dieussaert, I.","BACKGROUND: â€ƒRespiratory syncytial virus (RSV) is a leading cause of childhood bronchiolitis and pneumonia, particularly in early infancy. Immunization of pregnant women could boost preexisting immune responses, providing passive protection to newborns through placental transfer of anti-RSV antibody. METHODS: â€ƒIn this first-in-humans clinical trial of a purified recombinant RSV protein F vaccine engineered to preferentially maintain prefusion conformation (RSV-PreF), 128 healthy men 18-44 years old were randomized to one dose of a RSV-PreF vaccine containing 10, 30, or 60 Âµg of RSV-PreF antigen, with or without alum adjuvant, or control, and followed for one year for safety and immunogenicity outcomes. RESULTS: â€ƒInjection site pain was the most common adverse event, reported by up to 81.3% of participants. The highest RSV neutralizing antibody responses were in the 30 Âµg RSV-PreF/alum, 60 Âµg RSV-PreF/alum, and 60 Âµg RSV-PreF/nonadjuvant groups. Responses were evident on day 7, and 30 days after vaccination these participants had RSV-A neutralizing antibody titers of â‰¥1:512, and >70% had titers of 1:1024, with titers increasing by 3.2-4.9 fold. Responses remained high on day 60 but waned on days 180 and 360. CONCLUSIONS: â€ƒThe RSV-PreF vaccine elicited rapid RSV neutralizing antibody responses in healthy young men, with an acceptable adverse event profile.",2017,"Jan-01","J Infect Dis",215,"1","24-33",27694633,"10.1093/infdis/jiw453",NA,"#654","Langley 2017","","GSK; NCT number; Possible RCT; general adults; immunogenicity; males only; product not taken forward to phase 3; protein subunit;3_general_adults_immunogenicity",TRUE
"42","Safety and immunogenicity of a respiratory syncytial virus fusion glycoprotein F subunit vaccine in healthy adults: Results of a phase 1, randomized, observer-blind, controlled, dosage-escalation study","Leroux-Roels, G.; De Boever, F.; Maes, C.; Nguyen, T. L.; Baker, S.; Gonzalez Lopez, A.","INTRODUCTION: Respiratory syncytial virus (RSV) is a leading cause of acute lower respiratory tract infections in infants. An investigational vaccine using an engineered recombinant RSV fusion glycoprotein in its post-fusion conformation (RSV F subunit vaccine) has been developed to protect young infants via maternal immunization. This first-in-human, phase I, observer-blind study (NCT02298179) evaluated the safety and immunogenicity of different dosages and formulations of RSV F subunit vaccine in healthy non-pregnant women and men aged 18-45â€¯years. METHODS: Participants were enrolled (1:1:1) in a stepwise dosage-escalation manner into three cohorts to receive RSV F subunit vaccine containing 45â€¯Âµg, 90â€¯Âµg and 135â€¯Î¼g of RSV F glycoprotein. Within each cohort, participants were randomized (1:1:1:1) to receive two doses of RSV F subunit vaccine with (aluminum hydroxide or MF59) or without adjuvant, or placebo, â‰¥28â€¯days apart. Safety (until day 365 post-dose 2), anti-RSV neutralizing antibodies (NAbs) and serum total binding antibodies to RSV F protein (until day 181 post-dose 1) were evaluated. RESULTS: All formulations were well-tolerated. No vaccine-related serious adverse events were reported. All participants were seropositive for anti-RSV NAbs at baseline, with geometric mean titers (GMTs) ranging from 184 (95% confidence interval [CI]: 127-266) to 380 (95% CI: 272-531). At 28â€¯days post-dose 1, anti-RSV NAb GMTs in vaccine recipients ranged from 893 (95% CI: 702-1,136) to 1,602 (95% CI: 1,243-2,064). No booster effect was observed, but immune responses were maintained above pre-vaccination levels for six months post-dose 1. Ratios of RSV F total binding antibodies fold changes to NAb fold changes ranged from 2.79 to 4.12 at 28â€¯days post-dose 1. The impact of the adjuvant was limited. CONCLUSIONS: A single dose of each formulation of RSV subunit F vaccine was well-tolerated and enhanced preexisting NAb titers through six months of follow-up.",2019,"May-06","Vaccine",37,"20","2694-2703",30987852,"10.1016/j.vaccine.2019.04.011",NA,"#689","Leroux-Roels 2019","","GSK; NCT number; Possible RCT; general adults; immunogenicity; product not taken forward to phase 3; protein subunit;3_general_adults_immunogenicity",TRUE
"43","Double-Blind, Placebo-Controlled, Dose-Escalating Study Evaluating the Safety and Immunogenicity of an Epitope-Specific Chemically Defined Nanoparticle RSV Vaccine","Leroux-Roels, I.; Bruhwyler, J.; Stergiou, L.; Sumeray, M.; Joye, J.; Maes, C.; Lambert, P. H.; Leroux-Roels, G.","BACKGROUND: V-306 is a virus-like particle-based vaccine candidate displaying respiratory syncytial virus (RSV) F site II protein mimetics (FsIIm) as an antigenic epitope. METHODS: This was a randomized, placebo-controlled, double-blind, dose-escalating, first-in-human study, conducted in 60 women aged 18-45 years. Twenty subjects per cohort (15 vaccine and five placebo) received two V-306 intramuscular administrations on Days 0 and 56 at 15 Âµg, 50 Âµg, or 150 Âµg. Safety and immunogenicity were assessed after each vaccination and for 1 year in total. RESULTS: V-306 was safe and well tolerated at all dose levels, with no increase in reactogenicity and unsolicited adverse events between the first and second administrations. At 50 Âµg and 150 Âµg, V-306 induced an increase in FsIIm-specific immunoglobulin G (IgG) titers, which lasted at least 4 months. This did not translate into an increase in RSV-neutralizing antibody titers, which were already high at baseline. No increase in the anti-F protein-specific IgG titers was observed, which were also high in most subjects at baseline due to past natural infections. CONCLUSIONS: V-306 was safe and well-tolerated. Future modifications of the vaccine and assay conditions will likely improve the results of vaccination.",2023,"Feb-06","Vaccines (Basel)",11,"2","",36851245,"10.3390/vaccines11020367",NA,"#690","Leroux-Roels 2023","Yuna Chung (2025-01-08 12:36:05)(Included): synthetic virus-like particle vaccine; ","NCT number; Possible RCT; Virometix; females only; general adults; immunogenicity; product not taken forward to phase 3; virus-like particles;3_general_adults_immunogenicity",TRUE
"44","Safety and Immunogenicity of a Respiratory Syncytial Virus Prefusion F (RSVPreF3) Candidate Vaccine in Older Adults: Phase 1/2 Randomized Clinical Trial","Leroux-Roels, I.; Davis, M. G.; Steenackers, K.; Essink, B.; Vandermeulen, C.; Fogarty, C.; Andrews, C. P.; Kerwin, E.; David, M. P.; Fissette, L.; Vanden Abeele, C.; Collete, D.; de Heusch, M.; Salaun, B.; De Schrevel, N.; Koch, J.; Verheust, C.; Dezutter, N.; Struyf, F.; Mesaros, N.; Tica, J.; HulstrÃ¸m, V.","BACKGROUND: The aim of this study was to investigate safety and immunogenicity of vaccine formulations against respiratory syncytial virus (RSV) containing the stabilized prefusion conformation of RSV fusion protein (RSVPreF3). METHODS: This phase 1/2, randomized controlled, observer-blind study enrolled 48 young adults (YAs; aged 18-40 years) and 1005 older adults (OAs; aged 60-80 years) between January and August 2019. Participants were randomized into equally sized groups to receive 2 doses of unadjuvanted (YAs and OAs) or AS01-adjuvanted (OAs) vaccine or placebo 2 months apart. Vaccine safety and immunogenicity were assessed until 1 month (YAs) or 12 months (OAs) after second vaccination. RESULTS: The RSVPreF3 vaccines boosted humoral (RSVPreF3-specific immunoglobulin G [IgG] and RSV-A neutralizing antibody) responses, which increased in an antigen concentration-dependent manner and were highest after dose 1. Compared to prevaccination, the geometric mean frequencies of polyfunctional CD4+ T cells increased after each dose and were significantly higher in adjuvanted than unadjuvanted vaccinees. Postvaccination immune responses persisted until end of follow-up. Solicited adverse events were mostly mild to moderate and transient. Despite a higher observed reactogenicity of AS01-containing vaccines, no safety concerns were identified for any assessed formulation. CONCLUSIONS: Based on safety and immunogenicity profiles, the AS01E-adjuvanted vaccine containing 120 Î¼g of RSVPreF3 was selected for further clinical development. CLINICAL TRIALS REGISTRATION: NCT03814590.",2023,"Mar-28","J Infect Dis",227,"6","761-772",35904987,"10.1093/infdis/jiac327",NA,"#691","Leroux-Roels 2023","Ainslie Hie (2025-03-04 16:35:27)(Included): extracted
; ","GSK; NCT number; Possible RCT; formulation taken forward to phase 3; general adults; immunogenicity; older adults; product taken forward to phase 3; protein subunit;3_general_adults_immunogenicity;4_older_adults_immunogenicity",TRUE
"45","Safety and Immunogenicity of a Revaccination With a Respiratory Syncytial Virus Prefusion F Vaccine in Older Adults: A Phase 2b Study","Leroux-Roels, I.; Van Ranst, M.; Vandermeulen, C.; Abeele, C. V.; De Schrevel, N.; Salaun, B.; Verheust, C.; David, M. P.; Kotb, S.; HulstrÃ¸m, V.","BACKGROUND: In the previous (parent) study, 2 doses of different formulations of an investigational vaccine against respiratory syncytial virus (RSVPreF3 OA) were well tolerated and immunogenic in older adults. This multicenter phase 2b extension study assessed safety and immunogenicity of a revaccination (third) dose of the 120 Î¼g RSVPreF3-AS01E formulation. METHODS: In total, 122 older adults (60-80 years), previously vaccinated with 2 doses of RSVPreF3-AS01E formulations (containing 30, 60, or 120 Î¼g RSVPreF3 antigen), received an additional 120 Î¼g RSVPreF3-AS01E dose 18 months after dose 2. Vaccine safety was evaluated in all participants up to 6 months and immunogenicity in participants who received 120 Î¼g RSVPreF3-AS01E doses until 1 month after dose 3. RESULTS: Similar to the parent study, mostly mild-to-moderate solicited adverse events and no vaccine-related serious adverse events or potential immune-mediated disorders were reported. Neutralizing titers and cell-mediated immune responses persisted for 18 months after 2-dose vaccination. Dose 3 increased RSV-specific neutralizing titers against RSV-A and RSV-B and median CD4+ T-cell frequencies. After dose 3, RSV-specific neutralizing titers but not CD4+ T-cell frequencies were below levels detected 1 month after dose 1. CONCLUSIONS: Revaccination with 120 Î¼g RSVPreF3-AS01E 18 months after dose 2 is well tolerated and immunogenic in older adults. CLINICAL TRIALS REGISTRATION: NCT04657198; EudraCT, 2020-000692-21.
Respiratory syncytial virus (RSV) is a common, contagious seasonal virus causing respiratory tract infections. In older adults, RSV can cause serious respiratory illnesses or worsen underlying medical conditions such as chronic diseases of the lungs or heart failure. Severe disease may lead to hospitalization, increased need for oxygen, and ventilatory support. However, several vaccines against RSV in older adults have recently been licensed in the United States and European Union. This study evaluated safety and immune responses after revaccination (third dose) with an adjuvanted vaccine against RSV in older adults aged 60â€“80 years, who had received 2 doses of the vaccine with a similar adjuvanted formulation in a previous (parent) study. Revaccination was done with the licensed vaccine formulation, which was also selected for further investigation in several phase 3 clinical trials. This study found that immune responses against RSV persisted above prevaccination levels for at least 18 months after the second vaccination in the parent study. The third vaccine dose was well tolerated and recalled the immune responses in older adults. Together with the ongoing confirmatory clinical trials, these results help better characterize this RSV vaccine, in terms of safety and RSV-specific immune responses elicited in older adults.
eng",2024,"Feb-14","J Infect Dis",229,"2","355-366",37699064,"10.1093/infdis/jiad321",NA,"#692","Leroux-Roels 2024","","GSK; NCT number; Possible RCT; formulation taken forward to phase 3; immunogenicity; older adults; product taken forward to phase 3; protein subunit;4_older_adults_immunogenicity",TRUE
"46","Respiratory Syncytial Virus Vaccination during Pregnancy and Effects in Infants","Madhi, S. A.; Polack, F. P.; Piedra, P. A.; Munoz, F. M.; Trenholme, A. A.; SimÃµes, E. A. F.; Swamy, G. K.; Agrawal, S.; Ahmed, K.; August, A.; Baqui, A. H.; Calvert, A.; Chen, J.; Cho, I.; Cotton, M. F.; Cutland, C. L.; Englund, J. A.; Fix, A.; Gonik, B.; Hammitt, L.; Heath, P. T.; de Jesus, J. N.; Jones, C. E.; Khalil, A.; Kimberlin, D. W.; Libster, R.; Llapur, C. J.; Lucero, M.; PÃ©rez Marc, G.; Marshall, H. S.; Masenya, M. S.; MartinÃ³n-Torres, F.; Meece, J. K.; Nolan, T. M.; Osman, A.; Perrett, K. P.; Plested, J. S.; Richmond, P. C.; Snape, M. D.; Shakib, J. H.; Shinde, V.; Stoney, T.; Thomas, D. N.; Tita, A. T.; Varner, M. W.; Vatish, M.; Vrbicky, K.; Wen, J.; Zaman, K.; Zar, H. J.; Glenn, G. M.; Fries, L. F.","BACKGROUND: Respiratory syncytial virus (RSV) is the dominant cause of severe lower respiratory tract infection in infants, with the most severe cases concentrated among younger infants. METHODS: Healthy pregnant women, at 28 weeks 0 days through 36 weeks 0 days of gestation, with an expected delivery date near the start of the RSV season, were randomly assigned in an overall ratio of approximately 2:1 to receive a single intramuscular dose of RSV fusion (F) protein nanoparticle vaccine or placebo. Infants were followed for 180 days to assess outcomes related to lower respiratory tract infection and for 364 days to assess safety. The primary end point was RSV-associated, medically significant lower respiratory tract infection up to 90 days of life, and the primary analysis of vaccine efficacy against the primary end point was performed in the per-protocol population of infants (prespecified criterion for success, lower bound of the 97.52% confidence interval [CI] of â‰¥30%). RESULTS: A total of 4636 women underwent randomization, and there were 4579 live births. During the first 90 days of life, the percentage of infants with RSV-associated, medically significant lower respiratory tract infection was 1.5% in the vaccine group and 2.4% in the placebo group (vaccine efficacy, 39.4%; 97.52% CI, -1.0 to 63.7; 95% CI, 5.3 to 61.2). The corresponding percentages for RSV-associated lower respiratory tract infection with severe hypoxemia were 0.5% and 1.0% (vaccine efficacy, 48.3%; 95% CI, -8.2 to 75.3), and the percentages for hospitalization for RSV-associated lower respiratory tract infection were 2.1% and 3.7% (vaccine efficacy, 44.4%; 95% CI, 19.6 to 61.5). Local injection-site reactions among the women were more common with vaccine than with placebo (40.7% vs. 9.9%), but the percentages of participants who had other adverse events were similar in the two groups. CONCLUSIONS: RSV F protein nanoparticle vaccination in pregnant women did not meet the prespecified success criterion for efficacy against RSV-associated, medically significant lower respiratory tract infection in infants up to 90 days of life. The suggestion of a possible benefit with respect to other end-point events involving RSV-associated respiratory disease in infants warrants further study. (Funded by Novavax and the Bill and Melinda Gates Foundation; ClinicalTrials.gov NCT02624947.).",2020,"Jul-30","N Engl J Med",383,"5","426-439",32726529,"10.1056/NEJMoa1908380",NA,"#747","Madhi 2020","","NCT number; Novavax; Possible RCT; efficacy/effectiveness; females only; formulation taken forward to phase 3; immunogenicity; maternal; product taken forward to phase 3; protein subunit; â‰¤1 year;2_maternal_immunogenicity",TRUE
"47","Safety and immunogenicity of a live attenuated RSV vaccine in healthy RSV-seronegative children 5 to 24 months of age","Malkin, E.; Yogev, R.; Abughali, N.; Sliman, J.; Wang, C. K.; Zuo, F.; Yang, C. F.; Eickhoff, M.; Esser, M. T.; Tang, R. S.; Dubovsky, F.","Despite substantial morbidity associated with respiratory syncytial virus (RSV) infection, there is no licensed vaccine. MEDI-559 is a live attenuated intranasal vaccine candidate being developed for prevention of lower respiratory illness due to RSV in young children. This randomized, placebo-controlled study evaluated safety of MEDI-559 in healthy, RSV-seronegative children. MEDI-559 or placebo was administered on 3 occasions, 2 months apart. Primary safety was based on solicited symptoms (SSs) and adverse events (AEs) collected for 28 days after each dose. Nasal wash samples were collected 3 times after each dose (days 7-10, 12-18, 28-34) and at sick visits. Serum was collected for measuring antibody immune responses to RSV prior to first vaccination and 28 days post final dose. Long-term safety was monitored for 365 days from first dose. SSs were mild and frequent (MEDI-559 84%; placebo 91%); most common SSs were runny/stuffy nose, cough, and irritability/fussiness. AEs occurred in 67% MEDI-559 and 57% placebo recipients: most common AE was upper respiratory tract infection (MEDI-559 35%; placebo 23%). Higher incidence of medically attended lower respiratory illness within 28 days after dosing occurred in the MEDI-559 arm compared to placebo (none associated with vaccine virus shedding). There was no evidence of enhanced RSV disease. Vaccine virus was detected only in MEDI-559 recipients; shedding occurred in 56%subjects, primarily post dose 1. A functional immune response was observed in 59% and 9% MEDI-559 and placebo recipients, respectively, by an RSV microneutralization assay. Vaccine take, assessed by proportion that shed vaccine-type virus or had a seroresponse against RSV, was seen in 95% MEDI-559 subjects. MEDI-559 is therefore biologically active and immunogenic in this seronegative pediatric population. Although the frequency of SSs and AEs was not considered clinically significant, the increase in medically attended lower respiratory illnesses in the vaccine group warrants expanded safety studies. TRIAL REGISTRATION: ClinicalTrials.gov NCT00767416.",2013,"","PLoS One",8,"10","e77104",24204744,"10.1371/journal.pone.0077104",NA,"#758","Malkin 2013","","MedImmune; NCT number; Possible RCT; immunogenicity; live-attenuated; product not taken forward to phase 3; â‰¤2 years",TRUE
"48","Live Respiratory Syncytial Virus Attenuated by M2-2 Deletion and Stabilized Temperature Sensitivity Mutation 1030s Is a Promising Vaccine Candidate in Children","McFarland, E. J.; Karron, R. A.; Muresan, P.; Cunningham, C. K.; Libous, J.; Perlowski, C.; Thumar, B.; Gnanashanmugam, D.; Moye, J.; Schappell, E.; Barr, E.; Rexroad, V.; Fearn, L.; Spector, S. A.; Aziz, M.; Cielo, M.; Beneri, C.; Wiznia, A.; Luongo, C.; Collins, P.; Buchholz, U. J.","BACKGROUND: The safety and immunogenicity of live respiratory syncytial virus (RSV) candidate vaccine, LID/Î”M2-2/1030s, with deletion of RSV ribonucleic acid synthesis regulatory protein M2-2 and genetically stabilized temperature-sensitivity mutation 1030s in the RSV polymerase protein was evaluated in RSV-seronegative children. METHODS: Respiratory syncytial virus-seronegative children ages 6-24 months received 1 intranasal dose of 105 plaque-forming units (PFU) of LID/Î”M2-2/1030s (n = 21) or placebo (n = 11). The RSV serum antibodies, vaccine shedding, and reactogenicity were assessed. During the following RSV season, medically attended acute respiratory illness (MAARI) and pre- and postsurveillance serum antibody titers were monitored. RESULTS: Eighty-five percent of vaccinees shed LID/Î”M2-2/1030s vaccine (median peak nasal wash titers: 3.1 log10 PFU/mL by immunoplaque assay; 5.1 log10 copies/mL by reverse-transcription quantitative polymerase chain reaction) and had â‰¥4-fold rise in serum-neutralizing antibodies. Respiratory symptoms and fever were common (60% vaccinees and 27% placebo recipients). One vaccinee had grade 2 wheezing with rhinovirus but without concurrent LID/Î”M2-2/1030s shedding. Five of 19 vaccinees had â‰¥4-fold increases in antibody titers postsurveillance without RSV-MAARI, indicating anamnestic responses without significant illness after infection with community-acquired RSV. CONCLUSIONS: LID/Î”M2-2/1030s had excellent infectivity without evidence of genetic instability, induced durable immunity, and primed for anamnestic antibody responses, making it an attractive candidate for further evaluation.",2020,"Feb-03","J Infect Dis",221,"4","534-543",31758177,"10.1093/infdis/jiz603",NA,"#791","McFarland 2020","","NCT number; Possible RCT; Sanofi/NIAID/NIH; immunogenicity; live-attenuated; product not taken forward to phase 3; â‰¤2 years",TRUE
"49","Live-Attenuated Respiratory Syncytial Virus Vaccine With M2-2 Deletion and With Small Hydrophobic Noncoding Region Is Highly Immunogenic in Children","McFarland, E. J.; Karron, R. A.; Muresan, P.; Cunningham, C. K.; Perlowski, C.; Libous, J.; Oliva, J.; Jean-Philippe, P.; Moye, J.; Schappell, E.; Barr, E.; Rexroad, V.; Fearn, L.; Cielo, M.; Wiznia, A.; Deville, J. G.; Yang, L.; Luongo, C.; Collins, P. L.; Buchholz, U. J.","BACKGROUND: Respiratory syncytial virus (RSV) is the leading viral cause of severe pediatric respiratory illness, and vaccines are needed. Live RSV vaccine D46/NS2/N/Î”M2-2-HindIII, attenuated by deletion of the RSV RNA regulatory protein M2-2, is based on previous candidate LID/Î”M2-2 but incorporates prominent differences from MEDI/Î”M2-2, which was more restricted in replication in phase 1. METHODS: RSV-seronegative children aged 6-24 months received 1 intranasal dose (105 plaque-forming units [PFUs] of D46/NS2/N/Î”M2-2-HindIII [nâ€…=â€…21] or placebo [nâ€…=â€…11]) and were monitored for vaccine shedding, reactogenicity, RSV-antibody responses and RSV-associated medically attended acute respiratory illness (RSV-MAARI) and antibody responses during the following RSV season. RESULTS: All 21 vaccinees were infected with vaccine; 20 (95%) shed vaccine (median peak titer, 3.5 log10 PFUs/mL with immunoplaque assay and 6.1 log10 copies/mL with polymerase chain reaction). Serum RSV-neutralizing antibodies and anti-RSV fusion immunoglobulin G increased â‰¥4-fold in 95% and 100% of vaccines, respectively. Mild upper respiratory tract symptoms and/or fever occurred in vaccinees (76%) and placebo recipients (18%). Over the RSV season, RSV-MAARI occurred in 2 vaccinees and 4 placebo recipients. Three vaccinees had â‰¥4-fold increases in serum RSV-neutralizing antibody titers after the RSV season without RSV-MAARI. CONCLUSIONS: D46/NS2/N/Î”M2-2-HindIII had excellent infectivity and immunogenicity and primed vaccine recipients for anamnestic responses, encouraging further evaluation of this attenuation strategy. CLINICAL TRIALS REGISTRATION: NCT03102034 and NCT03099291.",2020,"Jun-11","J Infect Dis",221,"12","2050-2059",32006006,"10.1093/infdis/jiaa049",NA,"#792","McFarland 2020","","NCT number; Possible RCT; Sanofi/NIAID/NIH; immunogenicity; live-attenuated; product not taken forward to phase 3; â‰¤2 years",TRUE
"50","Live-Attenuated Respiratory Syncytial Virus Vaccine Candidate With Deletion of RNA Synthesis Regulatory Protein M2-2 is Highly Immunogenic in Children","McFarland, E. J.; Karron, R. A.; Muresan, P.; Cunningham, C. K.; Valentine, M. E.; Perlowski, C.; Thumar, B.; Gnanashanmugam, D.; Siberry, G. K.; Schappell, E.; Barr, E.; Rexroad, V.; Yogev, R.; Spector, S. A.; Aziz, M.; Patel, N.; Cielo, M.; Luongo, C.; Collins, P. L.; Buchholz, U. J.","BACKGROUND: Live respiratory syncytial virus (RSV) candidate vaccine LIDÎ”M2-2 is attenuated by deletion of the RSV RNA regulatory protein M2-2, resulting in upregulated viral gene transcription and antigen expression but reduced RNA replication. METHODS: RSV-seronegative children ages 6-24 months received a single intranasal dose of 105 plaque forming units (PFU) of LIDÎ”M2-2 (n = 20) or placebo (n = 9) (NCT02237209, NCT02040831). RSV serum antibodies, vaccine infectivity, and reactogenicity were assessed. During the following RSV season, participants were monitored for respiratory illness and pre- and post-RSV season serum antibodies. RESULTS: Vaccine virus was shed by 95% of vaccinees (median peak titers of 3.8 log10 PFU/mL by quantitative culture and 6.3 log10 copies/mL by PCR); 90% had â‰¥4-fold rise in serum neutralizing antibodies. Respiratory symptoms and fever were common in vaccine (95%) and placebo (78%). One vaccinee had grade 2 rhonchi concurrent with vaccine shedding, rhinovirus, and enterovirus. Eight of 19 vaccinees versus 2 of 9 placebo recipients had substantially increased RSV antibody titers after the RSV season without medically attended RSV disease, indicating anamnestic vaccine responses to wild-type RSV without significant illness. CONCLUSION: LIDÎ”M2-2 had excellent infectivity and immunogenicity, encouraging further study of vaccine candidates attenuated by M2-2 deletion. CLINICAL TRIALS REGISTRATION: NCT02237209, NCT02040831.",2018,"Apr-11","J Infect Dis",217,"9","1347-1355",29509911,"10.1093/infdis/jiy040",NA,"#793","McFarland 2018","","NCT number; NIAID/NIH; Possible RCT; immunogenicity; live-attenuated; product not taken forward to phase 3; â‰¤2 years",TRUE
